Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Best Quartile;H index;Total Docs. (2021);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
19556;21100936374;"Agronomia Mesoamericana";journal;"22153608";"Universidad de Costa Rica";Yes;Yes;0,179;Q4;11;72;120;3105;86;120;0,72;43,13;33,47;1;Costa Rica;Latin America;"Universidad de Costa Rica";"2019-2025";"Agronomy and Crop Science (Q4); Food Science (Q4); Soil Science (Q4)";"Agricultural and Biological Sciences"
19557;21100403825;"Avaliacao Psicologica";journal;"21753431, 16770471";"Instituto Brasileiro de Avaliacao Psicologica";Yes;No;0,179;Q4;13;67;187;2492;89;178;0,41;37,19;67,91;0;Brazil;Latin America;"Instituto Brasileiro de Avaliacao Psicologica";"2015-2025";"Psychology (miscellaneous) (Q4)";"Psychology"
19558;28071;"Aviakosmicheskaia i ekologicheskaia meditsina = Aerospace and environmental medicine";journal;"0233528X";"Slovo Ltd";No;No;0,179;Q4;17;78;237;1614;93;237;0,47;20,69;48,91;0;Russian Federation;Eastern Europe;"Slovo Ltd";"1992-2025";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q4); Medicine (miscellaneous) (Q4)";"Biochemistry, Genetics and Molecular Biology; Medicine"
19559;24764;"California Fish and Game";journal;"00081078, 23310405";"Department of Fish and Game";Yes;No;0,179;Q4;0;0;0;0;0;0;0,00;0,00;0,00;0;United States;Northern America;"Department of Fish and Game";"1979-1984, 1990, 1996-2022";"Animal Science and Zoology (Q4); Aquatic Science (Q4)";"Agricultural and Biological Sciences"
19560;21100210918;"Egyptian Liver Journal";journal;"20906226, 20906218";"Lippincott Williams and Wilkins Ltd.";Yes;Yes;0,179;Q4;13;93;80;2960;55;80;0,80;31,83;45,94;0;United States;Northern America;"Lippincott Williams and Wilkins Ltd.";"2012-2026";"Hepatology (Q4)";"Medicine"
19561;21101039843;"Eurasian Journal of Physics and Functional Materials";journal;"26168537, 25229869";"L.N. Gumilyov Eurasian National University";Yes;Yes;0,179;Q4;8;35;114;714;51;113;0,50;20,40;31,78;0;Kazakhstan;Asiatic Region;"L.N. Gumilyov Eurasian National University";"2018-2025";"Condensed Matter Physics (Q4); Materials Science (miscellaneous) (Q4); Nuclear and High Energy Physics (Q4); Physics and Astronomy (miscellaneous) (Q4); Radiation (Q4)";"Materials Science; Physics and Astronomy"
19562;21101042008;"Food Science and Technology (United States)";journal;"2331513X, 23315156";"Horizon Research Publishing";No;No;0,179;Q4;7;9;20;356;12;20;0,60;39,56;47,50;0;United States;Northern America;"Horizon Research Publishing";"2019-2026";"Biochemistry (Q4); Food Science (Q4); Nutrition and Dietetics (Q4)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Nursing"
19563;28756;"Geographische Rundschau";journal;"00167460";"Westermann Schulbuchverlag GmbH";No;No;0,179;Q4;14;134;365;994;44;270;0,11;7,42;38,62;0;Germany;Western Europe;"Westermann Schulbuchverlag GmbH";"1975, 1977-2014, 2018-2025";"Atmospheric Science (Q4); Energy (miscellaneous) (Q4); Geography, Planning and Development (Q4); Water Science and Technology (Q4)";"Earth and Planetary Sciences; Energy; Environmental Science; Social Sciences"
19564;19707;"Independent Review";journal;"10861653";"Independent Institute";No;No;0,179;Q4;27;0;12;0;7;12;0,00;0,00;0,00;0;United States;Northern America;"Independent Institute";"1996-2018";"Earth-Surface Processes (Q4); Geography, Planning and Development (Q4)";"Earth and Planetary Sciences; Social Sciences"
19565;16133;"Information Psychiatrique";journal;"19524056, 00200204";"John Libbey";No;No;0,179;Q4;12;128;325;2079;64;280;0,23;16,24;51,98;1;France;Western Europe;"John Libbey";"1965, 1973-1980, 1982-1988, 2005-2025";"Psychiatry and Mental Health (Q4)";"Medicine"
19566;21100396293;"International Journal of Electronic Finance";journal;"17460077, 17460069";"Inderscience";No;No;0,179;Q4;22;10;21;426;12;21;0,69;42,60;31,58;0;Switzerland;Western Europe;"Inderscience";"2006-2016, 2018-2026";"Computer Networks and Communications (Q4); Computer Science Applications (Q4); E-learning (Q4); Finance (Q4); Management of Technology and Innovation (Q4)";"Business, Management and Accounting; Computer Science; Economics, Econometrics and Finance; Social Sciences"
19567;21100329547;"International Journal of Group Theory";journal;"22517669, 22517650";"University of Isfahan";Yes;Yes;0,179;Q4;13;18;69;237;10;67;0,11;13,17;25,00;0;Iran;Middle East;"University of Isfahan";"2012-2026";"Algebra and Number Theory (Q4)";"Mathematics"
19568;4500151504;"International Journal of Morphology";journal;"07179502, 07179367";"Universidad de la Frontera";Yes;Yes;0,179;Q4;38;272;742;6801;415;741;0,55;25,00;35,72;0;Chile;Latin America;"Universidad de la Frontera";"2006-2025";"Anatomy (Q4)";"Medicine"
19569;145726;"Jiangsu Daxue Xuebao (Ziran Kexue Ban) / Journal of Jiangsu University (Natural Science Edition)";journal;"16717775";"Journal of Jiangsu University (Natural Science Edition)";No;No;0,179;Q4;19;107;351;1551;199;351;0,54;14,50;27,12;0;China;Asiatic Region;"Journal of Jiangsu University (Natural Science Edition)";"2005-2025";"Engineering (miscellaneous) (Q4)";"Engineering"
19570;28986;"Journal of Aeronautical Materials";journal;"10055053";"Science Press";Yes;No;0,179;Q4;27;70;230;2780;207;230;0,91;39,71;32,08;0;China;Asiatic Region;"Science Press";"1998-2026";"Aerospace Engineering (Q4); Ceramics and Composites (Q4); Materials Chemistry (Q4); Metals and Alloys (Q4)";"Engineering; Materials Science"
19571;4700152747;"Journal of Consumer Health on the Internet";journal;"15398285, 15398293";"Routledge";No;No;0,179;Q4;20;37;111;775;70;108;0,70;20,95;55,56;0;United States;Northern America;"Routledge";"2003-2026";"Health (social science) (Q4)";"Social Sciences"
19572;15831;"Journal of the Nepal Medical Association";journal;"1815672X, 00282715";"Nepal Medical Association";Yes;Yes;0,179;Q4;26;306;491;5049;271;473;0,51;16,50;37,39;3;Nepal;Asiatic Region;"Nepal Medical Association";"1975, 1988, 1993-1994, 1996, 2005-2026";"Medicine (miscellaneous) (Q4)";"Medicine"
19573;21100872186;"Journal of the Turkish Chemical Society, Section A: Chemistry";journal;"21490120";"Turkish Chemical Society";Yes;No;0,179;Q4;18;100;259;3913;206;259;0,75;39,13;42,26;0;Turkey;Middle East;"Turkish Chemical Society";"2018-2025";"Chemistry (miscellaneous) (Q4)";"Chemistry"
19574;21100465408;"Medical Journal of Indonesia";journal;"22528083, 08531773";"Faculty of Medicine, Universitas Indonesia";Yes;No;0,179;Q4;19;50;181;1147;112;161;0,56;22,94;43,33;2;Indonesia;Asiatic Region;"Faculty of Medicine, Universitas Indonesia";"1994-2025";"Medicine (miscellaneous) (Q4)";"Medicine"
19575;21100425711;"Nuclear and Particle Physics Proceedings";journal;"24056014";"Elsevier B.V.";No;No;0,179;Q4;83;41;204;1020;63;200;0,37;24,88;17,95;0;Netherlands;Western Europe;"Elsevier B.V.";"2015-2024";"Nuclear and High Energy Physics (Q4)";"Physics and Astronomy"
19576;9000153103;"Optica Pura y Aplicada";journal;"21718814, 00303917";"Sociedad Espanola de Optica";Yes;No;0,179;Q4;14;30;103;342;25;81;0,10;11,40;34,78;0;Spain;Western Europe;"Sociedad Espanola de Optica";"2007-2025";"Atomic and Molecular Physics, and Optics (Q4); Electronic, Optical and Magnetic Materials (Q4); Engineering (miscellaneous) (Q4); Mechanical Engineering (Q4)";"Engineering; Materials Science; Physics and Astronomy"
19577;17701;"Qatar Medical Journal";journal;"22270426, 02538253";"HBKU Press";Yes;Yes;0,179;Q4;19;81;62;2346;56;59;0,90;28,96;34,97;2;Qatar;Middle East;"HBKU Press";"2000-2017, 2019-2025";"Medicine (miscellaneous) (Q4)";"Medicine"
19578;28600;"Revista Brasileira de Geofisica";journal;"0102261X, 18094511";"Sociedade Brasileira de Geofisica";Yes;No;0,179;Q4;24;43;104;1334;65;104;0,61;31,02;18,18;0;Brazil;Latin America;"Sociedade Brasileira de Geofisica";"1993-2025";"Geophysics (Q4)";"Earth and Planetary Sciences"
19579;19700173306;"Revista Latinoamericana de Investigacion en Matematica Educativa";journal;"16652436";"Comite Latinoamericano de Matematica Educativa";Yes;No;0,179;Q4;14;15;45;478;19;40;0,40;31,87;62,07;0;Mexico;Latin America;"Comite Latinoamericano de Matematica Educativa";"2009-2024";"Education (Q4)";"Social Sciences"
19580;9600153103;"Surgery (United Kingdom)";journal;"18781764, 02639319";"Elsevier Ltd";No;No;0,179;Q4;31;109;328;1561;204;328;0,60;14,32;30,77;2;United Kingdom;Western Europe;"Elsevier Ltd";"2006-2026";"Surgery (Q4)";"Medicine"
19581;13608;"Xitong Fangzhen Xuebao / Journal of System Simulation";journal;"1004731X";"Acta Simulata Systematica Sinica";No;No;0,179;Q4;35;309;1160;5846;558;1160;0,52;18,92;32,05;0;China;Asiatic Region;"Acta Simulata Systematica Sinica";"1998-1999, 2001-2026";"Aerospace Engineering (Q4); Computer Science Applications (Q4); Modeling and Simulation (Q4)";"Computer Science; Engineering; Mathematics"
19582;6800153102;"Canadian Journal of Speech-Language Pathology and Audiology";journal;"1913200X, 19132018";"Canadian Association of Speech-Language Pathologists and Audiologists";Yes;Yes;0,178;Q2;23;20;34;948;16;34;0,58;47,40;80,33;0;Canada;Northern America;"Canadian Association of Speech-Language Pathologists and Audiologists";"2007-2025";"Linguistics and Language (Q2); Speech and Hearing (Q4)";"Health Professions; Social Sciences"
19583;16300154799;"Estudos Ibero-Americanos";journal;"1980864X, 01014064";"Editora da P U C R S";Yes;Yes;0,178;Q2;10;60;150;2185;25;126;0,13;36,42;50,00;0;Brazil;Latin America;"Editora da P U C R S";"1994, 2002-2025";"History (Q2)";"Arts and Humanities"
19584;16800154741;"Journal of Religion in Europe";journal;"18748929, 18748910";"Brill Academic Publishers";No;No;0,178;Q2;17;23;39;1147;12;38;0,22;49,87;64,29;0;Netherlands;Western Europe;"Brill Academic Publishers";"2008-2025";"Religious Studies (Q2)";"Arts and Humanities"
19585;21100800033;"Varia Historia";journal;"01048775, 19824343";"Universidade Federal de Minas Gerais";Yes;Yes;0,178;Q2;8;31;95;1181;54;86;0,48;38,10;34,48;0;Brazil;Latin America;"Universidade Federal de Minas Gerais";"2015-2025";"History (Q2)";"Arts and Humanities"
19586;21100199540;"AAPP Atti della Accademia Peloritana dei Pericolanti, Classe di Scienze Fisiche, Matematiche e Naturali";journal;"03650359, 18251242";"Accademia Peloritana dei Pericolanti";Yes;Yes;0,178;Q3;18;57;154;2174;79;153;0,47;38,14;42,40;0;Italy;Western Europe;"Accademia Peloritana dei Pericolanti";"2004-2025";"History and Philosophy of Science (Q3); Agricultural and Biological Sciences (miscellaneous) (Q4); Chemistry (miscellaneous) (Q4); Computer Science (miscellaneous) (Q4); Earth and Planetary Sciences (miscellaneous) (Q4); Mathematics (miscellaneous) (Q4); Physics and Astronomy (miscellaneous) (Q4)";"Agricultural and Biological Sciences; Arts and Humanities; Chemistry; Computer Science; Earth and Planetary Sciences; Mathematics; Physics and Astronomy"
19587;21100902690;"Credit and Capital Markets";journal;"21991227, 21991235";"Duncker und Humblot GmbH";No;No;0,178;Q3;7;24;76;1160;17;67;0,17;48,33;18,18;3;Germany;Western Europe;"Duncker und Humblot GmbH";"2016-2025";"Economics, Econometrics and Finance (miscellaneous) (Q3); Law (Q3); Business, Management and Accounting (miscellaneous) (Q4)";"Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
19588;21100865932;"European Public Law";journal;"13543725, 18758207";"Kluwer Law International";No;No;0,178;Q3;12;35;111;2656;61;107;0,55;75,89;31,11;13;Netherlands;Western Europe;"Kluwer Law International";"2018-2025";"Law (Q3)";"Social Sciences"
19589;21100868929;"Exploratory Animal and Medical Research";journal;"2277470X, 2319247X";"West Bengal Veterinary Alumni Association";Yes;Yes;0,178;Q3;10;38;114;1119;35;111;0,39;29,45;23,72;0;India;Asiatic Region;"West Bengal Veterinary Alumni Association";"2018-2024";"Veterinary (miscellaneous) (Q3); Ecology (Q4); Health, Toxicology and Mutagenesis (Q4); Medicine (miscellaneous) (Q4); Public Health, Environmental and Occupational Health (Q4)";"Environmental Science; Medicine; Veterinary"
19590;4000152131;"Global Economy Journal";journal;"15535304, 21945659";"World Scientific";No;No;0,178;Q3;25;20;66;730;43;66;0,71;36,50;40,54;0;Singapore;Asiatic Region;"World Scientific";"2006-2026";"Economics, Econometrics and Finance (miscellaneous) (Q3)";"Economics, Econometrics and Finance"
19591;20500195017;"Industrielle Beziehungen";journal;"18620035, 09432779";"Nomos Verlagsgesellschaft mbH und Co KG";No;No;0,178;Q3;14;34;64;1537;55;55;0,87;45,21;39,22;3;Germany;Western Europe;"Nomos Verlagsgesellschaft mbH und Co KG";"2008-2024";"Industrial Relations (Q3); Business and International Management (Q4); Organizational Behavior and Human Resource Management (Q4)";"Business, Management and Accounting"
19592;21100217635;"International Insolvency Review";journal;"10991107, 11800518";"John Wiley and Sons Ltd";No;No;0,178;Q3;12;29;67;0;40;57;0,53;0,00;31,25;5;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"1990-1991, 1993-2026";"Law (Q3); Finance (Q4)";"Economics, Econometrics and Finance; Social Sciences"
19593;21100893318;"Journal of Digital and Social Media Marketing";journal;"20500084, 20500076";"Henry Stewart Publications";No;No;0,178;Q3;10;36;97;964;43;87;0,40;26,78;46,81;0;United Kingdom;Western Europe;"Henry Stewart Publications";"2018-2025";"Communication (Q3); Marketing (Q4)";"Business, Management and Accounting; Social Sciences"
19594;19700173001;"Journal of Intellectual Property Rights";journal;"09717544, 09751076";"National Institute of Science Communication and Information Resources (NISCAIR)";Yes;No;0,178;Q3;17;35;59;1375;18;59;0,14;39,29;52,08;0;India;Asiatic Region;"National Institute of Science Communication and Information Resources (NISCAIR)";"2008-2026";"Law (Q3)";"Social Sciences"
19595;21100789025;"Journal of Media Law";journal;"17577640, 17577632";"Taylor and Francis Ltd.";No;No;0,178;Q3;14;11;30;0;41;28;1,39;0,00;30,77;5;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2009, 2013, 2015-2026";"Communication (Q3); Law (Q3)";"Social Sciences"
19596;5700165146;"New Criminal Law Review";journal;"19334206, 19334192";"University of California Press";No;No;0,178;Q3;26;23;68;1064;44;62;0,58;46,26;7,41;0;United States;Northern America;"University of California Press";"2007-2021";"Law (Q3)";"Social Sciences"
19597;23662;"Science in Context";journal;"02698897, 14740664";"Cambridge University Press";No;No;0,178;Q3;37;35;62;2861;43;62;0,41;81,74;37,50;0;United Kingdom;Western Europe;"Cambridge University Press";"1987-1989, 1991-2023, 2026";"History and Philosophy of Science (Q3); Social Sciences (miscellaneous) (Q3)";"Arts and Humanities; Social Sciences"
19598;22937;"Zhongguo Zhongyao Zazhi";journal;"10015302";"Zhongguo Zhongyi Yanjiuyuan";No;No;0,178;Q3;41;789;2248;30379;1889;2248;0,86;38,50;45,79;2;China;Asiatic Region;"Zhongguo Zhongyi Yanjiuyuan";"1989-2025";"Complementary and Alternative Medicine (Q3); Pharmacology, Toxicology and Pharmaceutics (miscellaneous) (Q3); Pharmacology (medical) (Q4)";"Medicine; Pharmacology, Toxicology and Pharmaceutics"
19599;65755;"Acta Agronomica";journal;"23230118, 01202812";"Universidad Nacional de Colombia";Yes;Yes;0,178;Q4;18;44;128;1250;82;126;0,49;28,41;39,39;2;Colombia;Latin America;"Universidad Nacional de Colombia";"1968, 2012-2026";"Agronomy and Crop Science (Q4); Soil Science (Q4)";"Agricultural and Biological Sciences"
19600;24735;"American Review of Canadian Studies";journal;"02722011, 19439954";"Routledge";No;No;0,178;Q4;20;34;91;2143;44;85;0,49;63,03;27,78;3;United Kingdom;Western Europe;"Routledge";"1971-2025";"Earth-Surface Processes (Q4); Geography, Planning and Development (Q4)";"Earth and Planetary Sciences; Social Sciences"
19601;4000151714;"Anadolu Psikiyatri Dergisi (discontinued)";journal;"13026631";"Cukurova University, Faculty of Medicine";No;No;0,178;Q4;27;57;334;1876;194;324;0,50;32,91;46,88;2;Turkey;Middle East;"Cukurova University, Faculty of Medicine";"2006-2022";"Psychiatry and Mental Health (Q4)";"Medicine"
19602;19700174668;"Annual Review of CyberTherapy and Telemedicine";journal;"15548716";"Virtual Reality Medical Institute";Yes;No;0,178;Q4;24;22;104;275;71;99;0,47;12,50;64,52;0;Belgium;Western Europe;"Virtual Reality Medical Institute";"2009-2025";"Computer Science (miscellaneous) (Q4); Neuroscience (miscellaneous) (Q4); Psychology (miscellaneous) (Q4); Rehabilitation (Q4)";"Computer Science; Medicine; Neuroscience; Psychology"
19603;21100787661;"Asian Journal of Agriculture and Biology (discontinued)";journal;"23078553";"Asian Journal of Agriculture and Biology";Yes;No;0,178;Q4;24;70;252;2578;159;252;0,63;36,83;32,08;1;Pakistan;Asiatic Region;"Asian Journal of Agriculture and Biology";"2013-2025";"Agricultural and Biological Sciences (miscellaneous) (Q4); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q4); Medicine (miscellaneous) (Q4)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Medicine"
19604;19700183144;"Australian Geomechanics Journal";journal;"08189110";"Australian Geomechanics Society";No;No;0,178;Q4;24;40;104;806;51;98;0,44;20,15;27,72;0;Australia;Pacific Region;"Australian Geomechanics Society";"2000-2025";"Geotechnical Engineering and Engineering Geology (Q4)";"Earth and Planetary Sciences"
19605;35154;"Berichte uber Landwirtschaft";journal;"00059080";"Landwirtschaftverlag Gmbh";No;No;0,178;Q4;15;51;64;1805;29;64;0,41;35,39;39,60;3;Germany;Western Europe;"Landwirtschaftverlag Gmbh";"1973, 1976-1982, 1984-1987, 1993, 1996-2025";"Agronomy and Crop Science (Q4); Animal Science and Zoology (Q4); Economics and Econometrics (Q4)";"Agricultural and Biological Sciences; Economics, Econometrics and Finance"
19606;54630;"Biomeditsinskaya Khimiya";journal;"23106905, 23106972";"Russian Academy of Medical Sciences";No;No;0,178;Q4;20;69;173;2261;137;172;0,85;32,77;51,46;0;Russian Federation;Eastern Europe;"Russian Academy of Medical Sciences";"2003-2025";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q4); Medicine (miscellaneous) (Q4)";"Biochemistry, Genetics and Molecular Biology; Medicine"
19607;21100872774;"Desenvolvimento e Meio Ambiente";journal;"21769109, 1518952X";"Universidade Federal do Parana";Yes;Yes;0,178;Q4;12;76;259;4159;115;250;0,36;54,72;53,37;0;Brazil;Latin America;"Universidade Federal do Parana";"2018-2025";"Environmental Science (miscellaneous) (Q4); Geography, Planning and Development (Q4)";"Environmental Science; Social Sciences"
19608;21101019713;"EAI/Springer Innovations in Communication and Computing";book series;"25228595, 25228609";"Springer International Publishing";No;No;0,178;Q4;37;455;804;11334;717;141;0,90;24,91;38,16;0;Switzerland;Western Europe;"Springer International Publishing";"2018-2026";"Computer Networks and Communications (Q4); Electrical and Electronic Engineering (Q4); Health Informatics (Q4); Information Systems (Q4)";"Computer Science; Engineering; Medicine"
19609;4700152222;"Family Medicine and Primary Care Review";journal;"17343402";"Polish Society of Family Medicine";Yes;No;0,178;Q4;15;80;188;2710;107;175;0,57;33,88;56,15;2;Poland;Eastern Europe;"Polish Society of Family Medicine";"2006-2025";"Medicine (miscellaneous) (Q4)";"Medicine"
19610;21100856013;"Forum Geografic";journal;"15831523, 20674635";"University of Craiova, Faculty of Social Sciences, Department of Geography";Yes;Yes;0,178;Q4;7;20;56;932;24;56;0,41;46,60;54,24;0;Romania;Eastern Europe;"University of Craiova, Faculty of Social Sciences, Department of Geography";"2017-2025";"Earth-Surface Processes (Q4); Geography, Planning and Development (Q4); Global and Planetary Change (Q4)";"Earth and Planetary Sciences; Environmental Science; Social Sciences"
19611;21101042014;"Ilmu Kelautan: Indonesian Journal of Marine Sciences";journal;"24067598, 08537291";"Diponegoro University";Yes;No;0,178;Q4;11;30;50;1083;40;50;0,80;36,10;40,95;4;Indonesia;Asiatic Region;"Diponegoro University";"2019-2025";"Aquatic Science (Q4); Ecology (Q4); Oceanography (Q4)";"Agricultural and Biological Sciences; Earth and Planetary Sciences; Environmental Science"
19612;19700183035;"Indian Journal of Horticulture";journal;"09740112, 09728538";"Indian Academy of Horticultural Sciences";No;No;0,178;Q4;19;65;345;1075;96;345;0,27;16,54;29,86;0;India;Asiatic Region;"Indian Academy of Horticultural Sciences";"2009-2025";"Horticulture (Q4)";"Agricultural and Biological Sciences"
19613;21100843245;"Indonesian Biomedical Journal";journal;"23559179, 20853297";"Prodia Education and Research Institute";Yes;No;0,178;Q4;13;52;136;2433;98;136;0,71;46,79;56,72;0;Indonesia;Asiatic Region;"Prodia Education and Research Institute";"2017-2025";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q4); Medicine (miscellaneous) (Q4)";"Biochemistry, Genetics and Molecular Biology; Medicine"
19614;4700152236;"International Journal of Globalisation and Small Business";journal;"14793059, 14793067";"Inderscience Enterprises Ltd";No;No;0,178;Q4;25;19;40;1484;29;37;0,69;78,11;52,27;0;United Kingdom;Western Europe;"Inderscience Enterprises Ltd";"2004-2025";"Business and International Management (Q4); Information Systems and Management (Q4); Management Science and Operations Research (Q4)";"Business, Management and Accounting; Decision Sciences"
19615;19500157222;"International Journal of Signal and Imaging Systems Engineering";journal;"17480698, 17480701";"Inderscience Enterprises Ltd";No;No;0,178;Q4;19;6;35;200;27;35;0,82;33,33;31,25;0;United Kingdom;Western Europe;"Inderscience Enterprises Ltd";"2008-2021, 2023-2025";"Control and Systems Engineering (Q4); Electrical and Electronic Engineering (Q4)";"Engineering"
19616;21101034002;"Izvestiya Rossiiskaya Akademii Nauk, Seriya Geograficheskaya";journal;"03732444";"Russian Academy of Sciences";No;No;0,178;Q4;0;0;0;0;0;0;0,00;0,00;0,00;0;Russian Federation;Eastern Europe;"Russian Academy of Sciences";"1978-1992, 1995-2011, 2018";"Earth and Planetary Sciences (miscellaneous) (Q4); Geography, Planning and Development (Q4)";"Earth and Planetary Sciences; Social Sciences"
19617;19700181264;"Journal of Business Continuity and Emergency Planning";journal;"17499216, 17499224";"Henry Stewart Publications";No;No;0,178;Q4;19;34;105;615;79;103;0,80;18,09;34,48;1;United Kingdom;Western Europe;"Henry Stewart Publications";"2009-2026";"Medicine (miscellaneous) (Q4)";"Medicine"
19618;21101024181;"Journal of Microscopy and Ultrastructure";journal;"2213879X, 22138803";"Wolters Kluwer Medknow Publications";No;No;0,178;Q4;12;33;71;960;74;67;1,04;29,09;39,05;0;India;Asiatic Region;"Wolters Kluwer Medknow Publications";"2014, 2019-2025";"Electronic, Optical and Magnetic Materials (Q4); Instrumentation (Q4); Nephrology (Q4); Pathology and Forensic Medicine (Q4)";"Materials Science; Medicine; Physics and Astronomy"
19619;21100210917;"Journal of Nano- and Electronic Physics";journal;"20776772, 23064277";"Sumy State University";Yes;Yes;0,178;Q4;29;223;670;4095;455;669;0,73;18,36;29,82;0;Ukraine;Eastern Europe;"Sumy State University";"2009-2025";"Condensed Matter Physics (Q4); Materials Science (miscellaneous) (Q4); Radiation (Q4)";"Materials Science; Physics and Astronomy"
19620;28388;"Journal of the Society of Leather Technologists and Chemists";journal;"01440322";"Society of Leather Technologists and Chemists";No;No;0,178;Q4;29;37;127;789;62;126;0,51;21,32;31,96;0;United Kingdom;Western Europe;"Society of Leather Technologists and Chemists";"1994-2025";"Chemical Engineering (miscellaneous) (Q4); Chemistry (miscellaneous) (Q4); Materials Science (miscellaneous) (Q4)";"Chemical Engineering; Chemistry; Materials Science"
19621;19892;"Medicina dello Sport";journal;"00257826, 18271863";"Edizioni Minerva Medica";No;No;0,178;Q4;18;64;183;2015;115;183;0,71;31,48;31,27;0;Italy;Western Europe;"Edizioni Minerva Medica";"1965, 1973-1982, 1996-2024";"Orthopedics and Sports Medicine (Q4); Physical Therapy, Sports Therapy and Rehabilitation (Q4); Sports Science (Q4)";"Health Professions; Medicine"
19622;19700186897;"Micro and Nanosystems";journal;"18764037, 18764029";"Bentham Science Publishers";No;No;0,178;Q4;20;55;69;1956;66;64;0,90;35,56;42,95;0;United Arab Emirates;Middle East;"Bentham Science Publishers";"2010-2026";"Building and Construction (Q4); Nanoscience and Nanotechnology (Q4)";"Engineering; Materials Science"
19623;6400153168;"OnLine Journal of Biological Sciences";journal;"16084217, 24108561";"Science Publications";Yes;No;0,178;Q4;23;54;116;1944;94;115;0,90;36,00;52,70;1;United States;Northern America;"Science Publications";"2007-2026";"Agricultural and Biological Sciences (miscellaneous) (Q4); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q4)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
19624;19700175072;"Open Biomedical Engineering Journal";journal;"18741207";"Bentham Science Publishers";Yes;No;0,178;Q4;29;25;35;981;62;34;1,81;39,24;44,58;0;United Arab Emirates;Middle East;"Bentham Science Publishers";"2009-2025";"Bioengineering (Q4); Biomedical Engineering (Q4); Medicine (miscellaneous) (Q4)";"Chemical Engineering; Engineering; Medicine"
19625;14068;"Psychotherapies";journal;"0251737X";"Editions Medecine et Hygiene";Yes;No;0,178;Q4;11;19;91;524;17;73;0,21;27,58;31,82;0;Switzerland;Western Europe;"Editions Medecine et Hygiene";"1990-2023";"Clinical Psychology (Q4); Psychiatry and Mental Health (Q4)";"Medicine; Psychology"
19626;21101041553;"Tourism and Management Studies";journal;"21828466, 21828458";"University of Algarve";Yes;Yes;0,178;Q4;17;17;37;1270;37;37;1,00;74,71;40,00;1;Portugal;Western Europe;"University of Algarve";"2019-2025";"Business, Management and Accounting (miscellaneous) (Q4); Tourism, Leisure and Hospitality Management (Q4)";"Business, Management and Accounting"
19627;19255;"Transactions of the South African Institute of Electrical Engineers";journal;"00382221";"South African Institute of Electrical Engineers";Yes;No;0,178;Q4;13;0;22;0;10;22;0,00;0,00;0,00;0;South Africa;Africa;"South African Institute of Electrical Engineers";"1969-1989, 1995, 2003-2008, 2010-2018";"Electrical and Electronic Engineering (Q4)";"Engineering"
19628;19400157034;"West African Journal of Applied Ecology";journal;"08554307";"Ecological Laboratory";Yes;No;0,178;Q4;19;14;77;553;61;77;0,44;39,50;10,71;0;Ghana;Africa;"Ecological Laboratory";"2009-2025";"Ecology (Q4); Ecology, Evolution, Behavior and Systematics (Q4)";"Agricultural and Biological Sciences; Environmental Science"
19629;21101033325;"Axon (Italy)";journal;"25326848";"Edizioni Ca' Foscari";Yes;Yes;0,177;Q1;4;16;94;1260;9;85;0,03;78,75;61,11;0;Italy;Western Europe;"Edizioni Ca' Foscari";"2017-2025";"Classics (Q1); Archeology (arts and humanities) (Q2); History (Q2)";"Arts and Humanities"
19630;21101030008;"Criticon";journal;"22729852, 0247381X";"";Yes;Yes;0,177;Q1;4;36;36;1299;5;33;0,14;36,08;51,43;0;France;Western Europe;"";"2020-2023";"Literature and Literary Theory (Q1); History (Q2)";"Arts and Humanities"
19631;16000154780;"Die Welt der Slaven: Internationale Halbjahresschrift fur Slavistik";journal;"00432520";"Verlag Otto Sagner";No;No;0,177;Q1;7;17;38;845;6;37;0,13;49,71;38,10;0;Germany;Western Europe;"Verlag Otto Sagner";"2002-2015, 2017-2025";"Literature and Literary Theory (Q1); Visual Arts and Performing Arts (Q1); Linguistics and Language (Q2)";"Arts and Humanities; Social Sciences"
19632;5900152815;"Journal of Design History";journal;"09524649, 17417279";"Oxford University Press";No;No;0,177;Q1;31;20;51;1433;21;51;0,28;71,65;69,57;0;United Kingdom;Western Europe;"Oxford University Press";"1988-1994, 1996-2025";"Visual Arts and Performing Arts (Q1)";"Arts and Humanities"
